Presynaptic_ID,Postsynaptic_ID,Presynaptic_Index,Postsynaptic_Index,Connectivity,Excitatory,Excitatory x Connectivity,Presynaptic_Type,Presynaptic_Side,Postsynaptic_Side
720575940610953651,720575940632499757,10209,108748,11,1,11,LPLC2,right,right
720575940620001718,720575940632499757,41386,108748,11,1,11,LPLC2,right,right
720575940625695269,720575940622838154,72725,57246,11,1,11,LPLC2,left,left
720575940641213824,720575940632499757,130519,108748,10,1,10,LC4,right,right
720575940629384271,720575940632499757,93265,108748,10,1,10,LPLC2,right,right
720575940633013355,720575940632499757,110942,108748,10,1,10,LC4,right,right
720575940636950505,720575940632499757,121442,108748,10,1,10,LPLC2,right,right
720575940620887834,720575940632499757,46058,108748,10,1,10,LPLC2,right,right
720575940607683011,720575940632499757,4954,108748,10,1,10,LPLC2,right,right
720575940632475449,720575940632499757,108651,108748,10,1,10,LC4,right,right
720575940618266459,720575940632499757,34402,108748,10,1,10,LC4,right,right
720575940615967377,720575940632499757,25605,108748,10,1,10,LPLC2,right,right
720575940618676440,720575940622838154,36093,57246,10,1,10,LC4,left,left
720575940626916936,720575940622838154,79150,57246,10,1,10,LC4,left,left
720575940625845447,720575940632499757,73522,108748,10,1,10,LC4,right,right
720575940628039034,720575940632499757,85903,108748,9,1,9,LPLC2,right,right
720575940612498129,720575940632499757,14284,108748,9,1,9,LC4,right,right
720575940626605200,720575940622838154,77298,57246,9,1,9,LC4,left,left
720575940612380723,720575940632499757,13909,108748,9,1,9,LC4,right,right
720575940638496720,720575940622838154,124935,57246,9,1,9,LC4,left,left
720575940632715234,720575940632499757,109680,108748,9,1,9,LC4,right,right
720575940628606713,720575940632499757,89200,108748,9,1,9,LC4,right,right
720575940622769159,720575940632499757,56884,108748,9,1,9,LPLC2,right,right
720575940623827348,720575940622838154,62781,57246,9,1,9,LPLC2,left,left
720575940624755504,720575940622838154,67955,57246,9,1,9,LPLC2,left,left
720575940613804906,720575940632499757,18555,108748,9,1,9,LPLC2,right,right
720575940612944382,720575940632499757,15796,108748,9,1,9,LPLC2,right,right
720575940618234715,720575940632499757,34246,108748,9,1,9,LC4,right,right
720575940617176321,720575940622838154,29887,57246,9,1,9,LC4,left,left
720575940617348379,720575940632499757,30533,108748,9,1,9,LC4,right,right
720575940619654149,720575940632499757,39827,108748,9,1,9,LPLC2,right,right
720575940620903551,720575940622838154,46146,57246,9,1,9,LC4,left,left
720575940620731380,720575940632499757,45196,108748,9,1,9,LC4,right,right
720575940615907723,720575940622838154,25387,57246,9,1,9,LPLC2,left,left
720575940611134833,720575940622838154,10627,57246,9,1,9,LC4,left,left
720575940655750305,720575940622838154,137933,57246,9,1,9,LPLC2,left,left
